name;address;visit_duration;long;lat;category_id;shortdescription;longdescription;contact;opening;tarif;illustration
Le Casse Museau;"{""postalCode"": '69001', ""streetAddress"": '2 rue Chavanne', ""addressLocality"": 'Lyon 1er'}";45;4.832494;45.765483;3;Entre Rhone et Saône, au détour d’une petite rue Le Casse Museau sera vous dévoiler ses secrets dès la porte franchie.;Maison Historique de la Tante Paulette, Le Casse Museau vous régalera de sa cuisine généreuse et gourmande : de notre gratin dauphinois, à notre riz de veau, en passant par notre poulet à l’ail sans oublier notre célèbre tarte praline autant de moment qui vous rappelleront la cuisine de nos grands mères.;[{'Téléphone': '04 78 32 64 42'}, {'Mél': 'lecassemuseau@gmail.com'}, {'Site web (URL)': 'https://lecassemuseau.com/'}, {'Page facebook': 'https://www.facebook.com/LeCasseMuseau'}];Toute l'année  Ouverture le mardi, mercredi, jeudi, vendredi et samedi de 12h à 13h30 et de 19h à 21h30. Fermetures exceptionnelles les 1er janvier et 25 décembre.;A la carte : de 19 à 22 € Menu adulte : de 32,50 à 36,50 €. ;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/47/145/18977071.jpeg', 'taille': 3646624, 'hauteur': 4032, 'largeur': 3024, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/47/145/18977071-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/42/145/18977066.jpeg', 'taille': 112085, 'hauteur': 682, 'largeur': 1024, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/42/145/18977066-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/39/145/18977063.jpeg', 'taille': 63406, 'hauteur': 1024, 'largeur': 768, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/39/145/18977063-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/40/145/18977064.jpeg', 'taille': 77805, 'hauteur': 947, 'largeur': 740, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/40/145/18977064-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/41/145/18977065.jpeg', 'taille': 94834, 'hauteur': 750, 'largeur': 931, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/41/145/18977065-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/43/145/18977067.jpeg', 'taille': 45292, 'hauteur': 450, 'largeur': 800, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/43/145/18977067-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/44/145/18977068.jpeg', 'taille': 73762, 'hauteur': 450, 'largeur': 800, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/44/145/18977068-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/45/145/18977069.jpeg', 'taille': 4387405, 'hauteur': 3024, 'largeur': 4032, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/45/145/18977069-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/46/145/18977070.jpeg', 'taille': 4258351, 'hauteur': 4032, 'largeur': 3024, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/46/145/18977070-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/48/145/18977072.jpeg', 'taille': 1510046, 'hauteur': 4032, 'largeur': 3024, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/48/145/18977072-fiche.jpg'}]
Café Epicerie de Cour des Loges;"{""postalCode"": '69005', ""streetAddress"": '6 rue du Boeuf', ""addressLocality"": 'Lyon 5ème'}";45;4.827469;45.763334;3;Au menu de ce Café-Epicerie, une carte orchestrée par Anthony Bonnet où saveur rime avec fraîcheur, originalité, qui fait la part belle aux épices, huiles aromatiques et arômes.;Autour de l’imposant comptoir en acier se dressent des   murs en pierres apparentes sur lesquels des tapisseries de   soierie lyonnaise flamboyantes resplendissent.     En extérieur, à l’arrivée des beaux jours, la terrasse ombragée bordant la   rue piétonne est un lieu de villégiature pour les fins   gourmets.     Dans ce cadre, le chef Anthony Bonnet cultive son amour du   produit en le travaillant d’une façon brute et sans fioriture   faisant ainsi ressortir tous les arômes avec simplicité et   justesse … Une invitation pour les épicuriens à la recherche   de saveurs authentiques.;[{'Téléphone': '+33 4 72 77 44 44'}, {'Tripadvisor': 'https://www.tripadvisor.fr/Restaurant_Review-g187265-d1605351-Reviews-Cafe_Epicerie-Lyon_Rhone_Auvergne_Rhone_Alpes.html'}, {'Mél': 'restaurant@courdesloges.com'}, {'Site web (URL)': 'https://www.courdesloges.com/fr'}, {'Page facebook': 'https://www.facebook.com/courdesloges/'}];Fermeture pour travaux jusqu'en été 2023;A la carte : de 15 à 28 € Menu adulte : 39 € (Menu Lyonnais : entrée + plat + dessert.) Menu du jour : à partir de 19,50 €. ;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/212/14/11538132.jpg', 'taille': 1474147, 'hauteur': 2560, 'largeur': 1920, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/212/14/11538132-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/177/145/10916273.jpg', 'taille': 4110037, 'hauteur': 4032, 'largeur': 3024, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/177/145/10916273-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/180/145/10916276.jpg', 'taille': 1038679, 'hauteur': 3007, 'largeur': 2475, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/180/145/10916276-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/182/145/10916278.jpg', 'taille': 3361360, 'hauteur': 4032, 'largeur': 3024, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/182/145/10916278-fiche.jpg'}]
Eglise Sainte Madeleine;"{""postalCode"": '69730', ""streetAddress"": 'Place de Verdun', ""addressLocality"": 'Genay'}";15;4,841551;45,897558;2;Léglise renferme un vitrail, oeuvre du peintre verrier Augustin Burlet (1892-1953) qui avait sa maison de vacances (la Maison Bleue) à Genay. Le fortin de Genay a soutenu de nombreux sièges au cours des siècles et a été reconstruit à plusieurs reprises.;Mis à part la voûte, il ne reste de ces fortifications que des murs denceinte et une tour dangle du XV° siècle entourant toujours léglise actuelle.  Elle fait partie de la paroisse St Christophe les deux rives en Val de Saône.;[{'Téléphone': '04 78 91 32 03'}, {'Site web (URL)': 'http://www.paroisses-valdesaone.fr'}, {'Site web (URL)': 'http://egliseinfo.catholique.fr'}];;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/58/111/618298.jpg', 'taille': 114949, 'hauteur': 607, 'largeur': 465, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/58/111/618298-fiche.jpg'}]
Le Lounge;"{""postalCode"": '69006', ""streetAddress"": '24 boulevard des Belges', ""addressLocality"": 'Lyon 6ème'}";45;4.84694;45.77541;3;Le restaurant vous propose une cuisine raffinée et savoureuse, mélange des saveurs du monde dans un même plat. Les jours ensoleillés, profitez de sa terrasse avec jardin privatif.;Le Lounge Bar Restaurant  mélange des saveurs du monde.     Vous pourrez, les jours ensoleillés, profiter de sa terrasse avec jardin privatif. Un endroit à ne pas manquer, pour ceux qui recherchent calme et sérénité, avec élégance et raffinement.     Salons privés pour les repas daffaires.;[{'Téléphone': '04 72 82 18 00'}, {'Mél': 'info.lyon@warwickhotels.com'}, {'Site web (URL)': 'http://www.warwickastrid.com'}];Ouvert du lun. au ven. de 12h à 14h et de 19h30 à 22h. Fermé les jours fériés et entre Noël et jour de l'An.;Menu à partir de 30 euros.;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/222/73/16730590.jpg', 'taille': 244227, 'hauteur': 899, 'largeur': 1329, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/222/73/16730590-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/231/73/16730599.jpg', 'taille': 236348, 'hauteur': 886, 'largeur': 1329, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/231/73/16730599-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/55/74/16730679.jpg', 'taille': 1191766, 'hauteur': 800, 'largeur': 1200, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/55/74/16730679-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/249/74/16730873.jpg', 'taille': 1185305, 'hauteur': 800, 'largeur': 1200, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/249/74/16730873-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/124/75/16731004.jpg', 'taille': 6018382, 'hauteur': 2667, 'largeur': 4000, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/124/75/16731004-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/130/75/16731010.jpg', 'taille': 167143, 'hauteur': 1329, 'largeur': 886, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/130/75/16731010-fiche.jpg'}]
Théâtre de lIris;"{""postalCode"": '69100', ""streetAddress"": '331 rue Francis de Pressensé', ""addressLocality"": 'Villeurbanne'}";90;4,897845;45,766664;1;Théâtre de 160 places existant depuis 1988. Accueil de compagnies, créations de la Compagnie de lIris, soutien aux jeunes équipes, festival les Turbulents et Brut de Fabrique, formation amateur et préprofessionnelle.;Le Théâtre de l’Iris est l’un des rares exemples en France de lieu ayant des activités si multiples : programmation, création et diffusion de spectacles, soutien aux compagnies régionales émergentes ou reconnues, formation en art dramatique, actions sociales et scolaires, etc.  Création de spectacles d’abord, par le biais de la Compagnie de l’Iris, avec pas loin de 45 créations à son actif. Alternant répertoire classique et textes contemporains, adaptations littéraires et spectacles nés de l’improvisation, la Compagnie de lIris, résolument hors des sentiers battus, distrait, touche et sait poser question, tout en s’adressant à des publics très divers.  L’équipe de comédiens a mis en place une formation complète d’art dramatique, allant de la pratique amateur à la formation préprofessionnelle, en partenariat avec l’ENMDAD de Villeurbanne (140 élèves intramuros, 120 personnes au sein des ateliers extérieurs). Ce 3ème cycle-CEPIT (Théâtre de l’Iris / ENMDAD) fait à ce jour partie des trois classes CEPIT de la région Rhône-Alpes.  Le Théâtre de l’Iris est un véritable tremplin pour de jeunes compagnies : des équipes extérieures trouvent dans ce lieu une opportunité rare de présenter leur travail sur une longue période, ou au cours du Festival Les Turbulents, une plateforme de la jeune création (3ème édition en 2011).  Certaines équipes bénéficient de résidences de création, de soutien à la production ou du statut de « compagnie associée ». Dans tous les cas, le théâtre offre accompagnement, conseils et entraide, et une grande visibilité.  Mais le Théâtre de l’Iris répond également aux propositions de compagnies plus reconnues, qui voient dans ce lieu l’occasion d’un nouveau rapport au public : 400 spectacles ont ainsi été accueillis en 23 ans.  1600 spectateurs par an aux Rencontres théâtrales Brut de Fabrique : le public plébiscite ce moment festif du mois de mai, cette fête du théâtre tous talents confondus, amateurs et professionnels.  Véritable plateforme de la création sous toutes ses formes, le projet a pris une envergure régionale, puisque d’autres structures culturelles de la région s’y associent, favorisant la diffusion des spectacles.  Conscient d’oeuvrer pour un théâtre populaire et fédérateur, le lieu se donne pour mission l’élargissement des publics (jeunes en difficulté d’insertion professionnelle, public des entreprises, établissements scolaires, structures socioculturelles…). Le Théâtre de l’Iris innove en permanence pour relever les défis inhérents au secteur culturel, en proposant des projets ambitieux et originaux.;[{'Téléphone': '04 78 68 86 49'}, {'Mél': 'information@theatredeliris.fr'}, {'Site web (URL)': 'http://www.theatredeliris.fr'}];Toute l'année.;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/173/206/1101485.jpg', 'taille': 4397401, 'hauteur': 3400, 'largeur': 2415, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/173/206/1101485-fiche.jpg'}]
Espace Jean Vilar;"{""postalCode"": '69250', ""streetAddress"": 'Place Général de Gaulle', ""addressLocality"": 'Neuville-sur-Saône'}";90;4,837783;45,878731;1;Centre culturel municipal qui propose des espaces et des équipements pour des expositions, spectacles, séminaires, conventions, présentations de produits, réunions dentreprise, réceptions, etc.;3 salles (Chassin, Guimet, Campant) dont 2 modulables avec une scène et loges et une salle de réunion. L’équipement dispose de deux cuisines dont une avec chambre froide en rez-de-chaussée.  La salle de réunion « Campant » au premier étage accueille les séances du Conseil Municipal et est également utilisée comme salle de mariage.   Parking de 150 places.;[{'Téléphone': '04 78 91 61 44'}, {'Mél': 'jean.vilar@mairie-neuvillesursaone.fr'}, {'Site web (URL)': 'http://www.mairie-neuvillesursaone.fr'}];Annulé ou fermé en raison du Covid-19.;La réservation des salles est payante. Tarifs en Mairie.;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/188/142/1609404.jpg', 'taille': 5456269, 'hauteur': 2592, 'largeur': 3888, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/188/142/1609404-fiche.jpg'}]
Fresque artistique des escaliers Prunelle;"{""postalCode"": '69001', ""streetAddress"": 'Escaliers Prunelle', ""addressLocality"": 'Lyon 1er'}";15;4,825719;45,769999;2;Découvrez la fresque urbaine artistique des escaliers Prunelle. Cette fresque participative a été réalisée par des habitants du quartier !;Oeuvre collective qui a donné couleurs et vie à notre quartier. Cette fresque a été réalisée par des habitants bénévoles du quartier sous la direction artistique de Genaro Lopez et avec la participation de lentreprise Zolpan.;;;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/219/231/1042395.jpg', 'taille': 180867, 'hauteur': 1200, 'largeur': 900, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/219/231/1042395-fiche.jpg'}]
Le Cocon Restaurant;"{""postalCode"": '69800', ""streetAddress"": '160 cours du 3ème Millénaire', ""addressLocality"": 'Saint-Priest'}";45;4.929434;45.715841;3;Dans un cadre moderne avec vue sur le lac, le Cocon est le lieu parfait aussi bien pour vos repas daffaires en semaine que pour vos réunions de famille le week-end.;Le Cocon vous promet un voyage visuel et gustatif local.     Découvrez une cuisine ensoleillée et authentique au cœur du Parc Technologique de Lyon. Les fruits et légumes proviennent de productions locales et du potager du restaurant.     En plus d’une cuisine respectueuse de l’environnement, venez profiter de la magnifique vue sur le lac et la campagne environnante.;[{'Téléphone': '04 37 25 25 25'}, {'Mél': 'fb@doubletree-lyon.com'}, {'Site web (URL)': 'http://www.lecocon-restaurant.com/'}];Du 01/01 au 31/12  Ouverture le lundi, mardi, mercredi, jeudi et vendredi de 12h à 14h et de 19h à 21h. Le samedi de 19h à 21h. Fermé le dimanche. Fermetures exceptionnelles les 1er janvier et 25 décembre.;A la carte : de 13 à 32 € Menu enfant (12 ans) : 15 € Plat du jour : 16 € Menu du jour : de 22 à 29 € (MENU EXPRESS disponible du lundi au vendredi midi). ;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/63/13/16977215.jpg', 'taille': 3135966, 'hauteur': 1367, 'largeur': 2048, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/63/13/16977215-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/65/13/16977217.jpg', 'taille': 1787298, 'hauteur': 3413, 'largeur': 5120, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/65/13/16977217-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/67/13/16977219.jpg', 'taille': 6191856, 'hauteur': 3413, 'largeur': 5120, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/67/13/16977219-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/72/13/16977224.jpg', 'taille': 9943644, 'hauteur': 3413, 'largeur': 5120, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/72/13/16977224-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/74/13/16977226.jpg', 'taille': 6269292, 'hauteur': 3413, 'largeur': 5120, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/74/13/16977226-fiche.jpg'}]
Parc de Gerland;"{""postalCode"": '69007', ""streetAddress"": 'Entrée du parc : 405 avenue Jean Jaurès', ""addressLocality"": 'Lyon 7ème'}";90;4,828234;45,721971;4;Parc de 80 hectares, créé par Michel Corajoud de 1997 à 2002, il est composé de 2 prairies, de jardins baptisés “Megaphorbiaie” avec 18000 plans répartis en 300 espèces différentes, nénuphars, 600 arbres et de pelouses.;Conçu par Michel Corajoud, architecte-paysagiste, à lemplacement dune ancienne friche industrielle, le parc est situé sur les berges du Rhône. Il est composé de vastes prairies, où ont été conservés les arbres existants, traversées par un mur promenade fait de pisé et de bois et dun jardin linéaire bordé dun canal.  La Parc de Gerland dispose dun dispositif créant un brouillard composé de très fines goutelettes : le Fog System, un des plus grands d’Europe :   Profitez des installations sonores perennes de Pierre Alain Jaffrennou : Animots, de sa Maison des Fleurs, dans l’allée des Iris, villa de 400 m², informations, expositions, librairie, atelier pour les classes de jardinage. Elle organise des ateliers sur les castors, ceux-ci étant présents sur les berges du Rhône au niveau du parc (ils ne sortent que la nuit).  Découvrez son Jardin Chromatique réalisé par Laurent Fachard avec une mise en lumière de la végétation jusquà 22h, son Jardin des Oiseaux de 3000 m² où lon peut voir les espèces grâce à des nichoirs plantés au milieu dun verger.  Urban Bees (www.urbanbees.eu) est un programme financé au niveau européen pour la sauvegarde des abeilles sauvages en milieu urbain : 3 hôtels à insectes, remplis de différent matériaux, 9 carrés de sol remplis de substrats de terre, sable, argile et, au milieu, une spirale à insectes constituée dun muret en pierres plates et en terre.   Il est équipé de jeux denfants cloisonnés par des haies : carrés à thème.  Les chiens tenus en laisse sont autorisés, ainsi que les pique-niques libres sur les pelouses.  Il dispose également dun Skate Park intérieur et extérieur.  Le Parc de Gerland est détenteur du Label Jardin Remarquable.;[{'Téléphone': '04 72 69 47 60'}, {'Site web (URL)': 'http://www.mairie7.lyon.fr/vdl/sections/fr/arrondissements/7arrdt/environnement8466/parcs_et_jardins/gerland_2'}, {'Site web (URL)': 'http://www.lyon.fr/page/cadre-de-vie/ville-nature/le-parc-de-gerland.html'}, {'Site web (URL)': 'http://www.lyon.fr/actualite/loisirs/la-maison-des-fleurs.html'}];- Parc : toute l'année, tous les jours de 6h à 21h (à 23h du 15 avril au 14 oct)  - Maison des Fleurs : d’avril à oct : le dim de 15h à 17h.;Gratuit;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/145/243/18477969.jpg', 'taille': 6058225, 'hauteur': 3388, 'largeur': 5082, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/145/243/18477969-fiche.jpg'}]
Flower Tree;"{""postalCode"": '69002', ""streetAddress"": 'Place Antonin Poncet', ""addressLocality"": 'Lyon 2ème'}";15;4,835358;45,755996;2;Le bouquet Flower Tree aux 85 fleurs, réalisé par lartiste coréen Jeong Hwa Choi, a été exposé place Antonin Poncet lors de la biennale dArt Contemporain de 2003.;A lissue de son parcours doeuvre dart au fil des expositions, les Lyonnais le regrettant, la ville de Lyon décide de lacquérir en juillet 2006. Il est réinstallé sur la place lors de la biennale 2007.   Larbre risque dêtre déplacé, larchitecte des Bâtiments de France ayant déclaré quil gênait la perspective du quai.;;;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/35/23/333603.jpg', 'taille': 51950, 'hauteur': 640, 'largeur': 430, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/35/23/333603-fiche.jpg'}]
Théâtre Carré 30;"{""postalCode"": '69001', ""streetAddress"": '12 Rue Pizay', ""addressLocality"": 'Lyon 1er'}";90;4,835231;45,766744;1;Le plus petit des grands théâtres ou le plus grand des plus petits ? Thats the question dirait Hamlet... En tout cas lespace bien que réduit est grand ouvert sur le monde grâce à lessentiel de sa philosophie : la poésie et la création.;;[{'Téléphone': '04 78 39 74 61'}, {'Mél': 'theatre.carre30@gmail.com'}, {'Page facebook': 'https://www.facebook.com/carre.trente'}];Soirées poétiques 2 fois par mois les mar., représentations théâtrales du jeu. au dim. Pendant les vac. scol. : spectacles jeune public deux fois par après-midi.;Adulte : à partir de 15 € Enfant : à partir de 5 €. ;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/44/72/739372.jpg', 'taille': 66826, 'hauteur': 900, 'largeur': 900, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/44/72/739372-fiche.jpg'}]
La Sommelière *;"{""postalCode"": '69005', ""streetAddress"": '6 Rue Mourguet', ""addressLocality"": 'Lyon 5ème'}";45;4.825983;45.759771;3;Repas de cuisine française.;;[{'Téléphone': '0478798645'}, {'Tripadvisor': 'https://www.tripadvisor.fr/Restaurant_Review-g187265-d13003226-Reviews-Restaurant_la_Sommeliere-Lyon_Rhone_Auvergne_Rhone_Alpes.html'}, {'Site web (URL)': 'https://www.la-sommeliere.net/'}];Toute l'année. Tous les jours de 20h à 21h. Fermé le dimanche. Sauf samedi de 12h à 13h.;;
Passerelle de lHomme de la Roche;"{""name"": 'Sur la Saône', ""postalCode"": '69005', ""streetAddress"": 'entre le quai Pierre Scize (5°) et le quai Saint Vincent (1er)', ""addressLocality"": 'Lyon 5ème'}";15;4,820724;45,766849;2;Le 1er pont avait été construit en 1895. Il a fait partie des rares ponts qui nont pas été détruit pendant la 2nde guerre mondiale, ayant été protégée par les résistants. Usé, devenu dangereux, il fut démoli en 1986.;Une passerelle métallique fabriquée à Villefranche et amenée entièrement montée sur une barge a été installée en 1989. Elle doit son nom au bienfaiteur de Lyon, le bon allemand ou lhomme de la Roche : Jean Kleberger né à Nuremberg en 1485 et arrivé à Lyon en 1531 où il mourut en 1546. Sa statue a été installée près de la passerelle, côté 5° arrdt, en 1849. Il na pas été détruit en sept 1944 par les forces allemandes.;;;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/176/73/9128368.jpg', 'taille': 713601, 'hauteur': 1125, 'largeur': 1500, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/176/73/9128368-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/175/73/9128367.jpg', 'taille': 697730, 'hauteur': 1125, 'largeur': 1500, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/175/73/9128367-fiche.jpg'}]
Pont de la Feuillée;"{""name"": 'Sur la Saône,et entre le quai St Vincent et le quai de la Pécherie (1er)', ""postalCode"": '69005', ""streetAddress"": 'entre le quai Pierre Scize et le quai de Bondy (5°)', ""addressLocality"": 'Lyon 5ème'}";15;4,82892;45,766236;2;Le 1er pont de 1831 a été endommagé lors des crues en 1840 et rouvert en 1841. Démoli en 1910 à cause de son état préoccupant depuis 1887, il est reconstruit 2 ans plus tard, ouvrage métallique avec des piles en pierres de Porcieu-Amblagnieu.;En 1936, une péniche heurte une pile du pont qui sécroule, emportant avec lui des passants la plupart noyés. Il est remplacé par un pont en acier à arcs multiples, détruit par les Allemands en 1944. Lingénieur Mogaray reconstruit en 1949 un pont plus large avec des piles en béton recouvertes de pierres de taille et un tablier en acier. Il relie la place St-Paul dans le Vieux-Lyon à la place des Terreaux où se trouve lHôtel de Ville et le musée des Beaux-Arts.;;;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/123/41/10619.jpg', 'taille': 100854, 'hauteur': 600, 'largeur': 800, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/123/41/10619-fiche.jpg'}]
La Fontaine et les statues dIpoustéguy;"{""postalCode"": '69001', ""streetAddress"": 'Place Louis pradel', ""addressLocality"": 'Lyon 1er'}";15;4,836946;45,768241;2;Ipoustéguy (1920-2006), de son vrai nom Jean Robert, sculpteur et peintre, a réalisé pour la ville de Lyon une fontaine et 4 sculptures installées place Louis Pradel pour le 8 décembre 1982.;La fontaine, large disque de bronze de 3,50 m de diamètre, représente le soleil. Une phrase de Louise Labé y est inscrite Permets mamour, penser quelques folies. 35 jets deau illuminés le soir convergent sur ce disque. Elle repose sur un bassin de forme elliptique.  - La statue de Louise Labé (3,50 m de haut en bronze) représente la poétesse la Belle Cordière, des draperies et une gorge nue pour symboliser lamour, cette passion qui habita toute sa vie. Elle a vécu place de lHôpital/28 rue Paufique, une plaque y est apposée.  - Le buste de Louis Pradel en bronze.mesure 1,20 m de haut.  La place Louis Pradel, où se trouvent ces statues, dune superficie de 151 ha, a été aménagée de 1974 à 1982. Son nom lui a été donné en 1977.;[{'Site web (URL)': 'http://www.ipousteguy.com'}];;;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/233/173/44521.jpg', 'taille': 29613, 'hauteur': 300, 'largeur': 451, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/233/173/44521-fiche.jpg'}, {'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/138/71/345994.jpg', 'taille': 66447, 'hauteur': 640, 'largeur': 640, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/138/71/345994-fiche.jpg'}, {'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/139/71/345995.jpg', 'taille': 35788, 'hauteur': 500, 'largeur': 259, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/139/71/345995-fiche.jpg'}]
Pont Bonaparte;"{""name"": 'Sur la Saône,et entre le quai des Célestins et le quai Tilsitt (2°)', ""postalCode"": '69005', ""streetAddress"": 'entre le quai Romain Rolland et le quai Fulchiron (5°)', ""addressLocality"": 'Lyon 5ème'}";15;4,82789;45,759679;2;Le 1er pont était un pont en bois construit de 1634 à 1642, détruit par les crues, il fut reconstruit plusieurs fois jusquen 1786 où ce fut en pierre de Villebois. Terminé en 1807, il fut appelé pont Tilsitt.;Dynamité le 1er septembre 1944 par les forces allemandes, sa reconstruction dura de 1946 à 1950. Il est composé de trois arches en béton armé recouvertes de pierres de taille provenant des carrières de Hauteville (carrières ayant fournies les pierres de lEmpire State Bulding à New York). Il est pourvu dune chaussée de 12 m et deux trottoirs de 4,50 m. Il prend le nom de pont Bonaparte en 1964. Il relie la cathédrale St Jean à la place Bellecour, la plus grande place de la ville.;;;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/130/59/9124738.jpg', 'taille': 1916931, 'hauteur': 2880, 'largeur': 1920, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/130/59/9124738-fiche.jpg'}]
